__time,/tool_pose/header/header/stamp,/tool_pose/pose/orientation/pitch,/tool_pose/pose/orientation/roll,/tool_pose/pose/orientation/w,/tool_pose/pose/orientation/x,/tool_pose/pose/orientation/y,/tool_pose/pose/orientation/yaw,/tool_pose/pose/orientation/z,/tool_pose/pose/position/x,/tool_pose/pose/position/y,/tool_pose/pose/position/z
1766484850.532113,1766484850.532006264,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.547082,1766484850.546998262,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.562064,1766484850.561996460,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.577160,1766484850.577027798,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.592131,1766484850.592012167,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.607143,1766484850.607020378,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.622086,1766484850.622003794,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.637085,1766484850.637002707,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.652117,1766484850.652009249,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.667052,1766484850.666994333,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.682079,1766484850.682002068,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.697082,1766484850.697003126,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.712029,1766484850.711993933,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.727064,1766484850.727001429,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.742049,1766484850.741997004,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.757043,1766484850.756997824,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
1766484850.772059,1766484850.772000551,0.000001258,3.141585197,0.000002008,0.382684417,0.923879125,2.356192360,0.000003204,0.433720795,0.078291328,0.440003326
