__time,/tool_pose/header/header/stamp,/tool_pose/pose/orientation/pitch,/tool_pose/pose/orientation/roll,/tool_pose/pose/orientation/w,/tool_pose/pose/orientation/x,/tool_pose/pose/orientation/y,/tool_pose/pose/orientation/yaw,/tool_pose/pose/orientation/z,/tool_pose/pose/position/x,/tool_pose/pose/position/y,/tool_pose/pose/position/z
1766484208.140611,1766484208.140489101,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.155617,1766484208.155491114,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.170906,1766484208.170589209,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.185651,1766484208.185497522,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.200592,1766484208.200488329,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.215618,1766484208.215499401,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.230619,1766484208.230496168,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.245599,1766484208.245491982,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.260595,1766484208.260487318,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.275662,1766484208.275502920,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.290655,1766484208.290498972,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.305630,1766484208.305501699,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.320567,1766484208.320482731,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.335668,1766484208.335497141,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.350549,1766484208.350481033,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.365658,1766484208.365507603,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.380613,1766484208.380500555,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.395572,1766484208.395487070,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.410826,1766484208.410550594,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.425599,1766484208.425498009,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.440596,1766484208.440499783,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.455599,1766484208.455497742,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.470668,1766484208.470513821,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.485625,1766484208.485505104,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.500630,1766484208.500511169,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.515586,1766484208.515493631,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.530582,1766484208.530496836,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.545621,1766484208.545515060,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.560732,1766484208.560541630,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.575660,1766484208.575518131,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.590633,1766484208.590515852,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.605622,1766484208.605514526,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.620631,1766484208.620519876,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.635623,1766484208.635520458,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.650562,1766484208.650501490,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.665912,1766484208.665616989,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.680679,1766484208.680536032,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.695661,1766484208.695530891,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.710633,1766484208.710525036,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.725625,1766484208.725518227,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.740643,1766484208.740526915,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.755621,1766484208.755517483,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.770640,1766484208.770526171,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.785596,1766484208.785512686,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.800622,1766484208.800525188,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.815666,1766484208.815525770,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.830589,1766484208.830514908,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.845639,1766484208.845529795,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.860622,1766484208.860525131,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.875630,1766484208.875533581,0.000001193,3.141585197,0.000001978,0.382688845,0.923877290,2.356182772,0.000003216,0.433718414,0.078290161,0.440002655
1766484208.890632,1766484208.890531063,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.905619,1766484208.905532122,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.920607,1766484208.920527697,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.935616,1766484208.935523510,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.950598,1766484208.950524569,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.965786,1766484208.965579510,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.980615,1766484208.980532408,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484208.995619,1766484208.995534182,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484209.010643,1766484209.010536432,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484209.025635,1766484209.025538683,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484209.040677,1766484209.040551901,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484209.055740,1766484209.055566788,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
1766484209.070643,1766484209.070540667,0.000000000,3.141591056,0.000000306,0.382688845,0.923877290,2.356182772,0.000000738,0.433717712,0.078289833,0.439999420
