__time,/tool_pose/header/header/stamp,/tool_pose/pose/orientation/pitch,/tool_pose/pose/orientation/roll,/tool_pose/pose/orientation/w,/tool_pose/pose/orientation/x,/tool_pose/pose/orientation/y,/tool_pose/pose/orientation/yaw,/tool_pose/pose/orientation/z,/tool_pose/pose/position/x,/tool_pose/pose/position/y,/tool_pose/pose/position/z
1766484447.906198,1766484447.906070709,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484447.921168,1766484447.921061039,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484447.936292,1766484447.936090946,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484447.951189,1766484447.951066494,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484447.966166,1766484447.966060162,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484447.981159,1766484447.981055975,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484447.996136,1766484447.996058702,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.011155,1766484448.011056900,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.026107,1766484448.026043415,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.041156,1766484448.041055679,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.056209,1766484448.056078672,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.071179,1766484448.071075678,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.086164,1766484448.086065054,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.101161,1766484448.101067543,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.116184,1766484448.116070986,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.131276,1766484448.131088257,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.146178,1766484448.146067619,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.161147,1766484448.161057472,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.176261,1766484448.176084995,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.191203,1766484448.191070318,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.206163,1766484448.206064939,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.221182,1766484448.221068382,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.236145,1766484448.236058474,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.251193,1766484448.251072884,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.266201,1766484448.266071558,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.281168,1766484448.281065464,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.296151,1766484448.296060562,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.311281,1766484448.311110973,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.326180,1766484448.326069593,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.341208,1766484448.341094971,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.356177,1766484448.356065750,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.371176,1766484448.371069193,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.386201,1766484448.386075974,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
1766484448.401198,1766484448.401075602,0.000001166,3.141585197,0.000001966,0.382690445,0.923876628,2.356179310,0.000003221,0.433717896,0.078292877,0.440002655
