__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484206.978173,9294.000000000,1766484206.000000000,-13.988140189,-3.755364710,-0.838414641,0.265770577,0.366339655,0.230364878
1766484206.994461,9295.000000000,1766484206.000000000,-15.052455204,-4.138565191,-0.457317077,0.268825411,0.369405259,0.231910951
1766484207.010801,9296.000000000,1766484207.000000000,-15.812680214,-3.832004806,-0.685975616,0.264243160,0.370938061,0.233457024
1766484207.026137,9297.000000000,1766484207.000000000,-15.356545208,-3.602084518,-0.457317077,0.264243160,0.372470863,0.231910951
1766484207.042554,9298.000000000,1766484207.000000000,-15.052455204,-4.138565191,-0.381097564,0.270352828,0.369405259,0.225726659
1766484207.058082,9299.000000000,1766484207.000000000,-14.672342699,-3.678724614,-0.457317077,0.271880245,0.372470863,0.241187389
1766484207.074284,9300.000000000,1766484207.000000000,-14.064162690,-2.912323653,-0.381097564,0.270352828,0.367872457,0.235003097
1766484207.090580,9301.000000000,1766484207.000000000,-14.444275196,-4.061925095,-0.685975616,0.264243160,0.372470863,0.230364878
1766484207.106037,9302.000000000,1766484207.000000000,-14.444275196,-3.755364710,-0.152439026,0.267297994,0.366339655,0.244279535
1766484207.122537,9303.000000000,1766484207.000000000,-15.204500206,-4.061925095,-0.381097564,0.264243160,0.367872457,0.231910951
1766484207.137850,9304.000000000,1766484207.000000000,-14.824387701,-3.065603845,-0.457317077,0.270352828,0.369405259,0.228818805
1766484207.154481,9305.000000000,1766484207.000000000,-15.128477705,-3.985284999,-0.381097564,0.267297994,0.372470863,0.235003097
1766484207.170829,9306.000000000,1766484207.000000000,-14.824387701,-3.525444422,-0.304878051,0.267297994,0.375536467,0.235003097
1766484207.186331,9307.000000000,1766484207.000000000,-15.204500206,-3.985284999,-0.533536590,0.267297994,0.375536467,0.235003097
1766484207.202677,9308.000000000,1766484207.000000000,-14.672342699,-3.602084518,-0.533536590,0.261188326,0.370938061,0.235003097
1766484207.218099,9309.000000000,1766484207.000000000,-14.520297697,-3.755364710,-0.609756103,0.271880245,0.367872457,0.235003097
1766484207.234435,9310.000000000,1766484207.000000000,-14.900410202,-4.215205287,-0.609756103,0.261188326,0.372470863,0.244279535
1766484207.249849,9311.000000000,1766484207.000000000,-14.672342699,-3.755364710,-0.914634154,0.265770577,0.374003665,0.225726659
1766484207.266320,9312.000000000,1766484207.000000000,-14.748365200,-3.908644903,-0.609756103,0.261188326,0.374003665,0.231910951
1766484207.282683,9313.000000000,1766484207.000000000,-14.900410202,-3.448804326,-0.762195129,0.267297994,0.372470863,0.231910951
1766484207.297918,9314.000000000,1766484207.000000000,-14.748365200,-3.602084518,-0.457317077,0.268825411,0.374003665,0.225726659
1766484207.314400,9315.000000000,1766484207.000000000,-15.204500206,-4.215205287,-0.914634154,0.267297994,0.370938061,0.241187389
1766484207.329771,9316.000000000,1766484207.000000000,-14.976432703,-4.368485479,-0.685975616,0.264243160,0.374003665,0.235003097
1766484207.346235,9317.000000000,1766484207.000000000,-14.748365200,-4.598405768,-0.914634154,0.268825411,0.374003665,0.244279535
1766484207.362487,9318.000000000,1766484207.000000000,-15.128477705,-4.215205287,-0.152439026,0.262715743,0.370938061,0.235003097
1766484207.377999,9319.000000000,1766484207.000000000,-15.356545208,-4.445125575,-0.685975616,0.267297994,0.372470863,0.238095243
1766484207.394460,9320.000000000,1766484207.000000000,-14.976432703,-3.908644903,-0.990853667,0.268825411,0.369405259,0.235003097
1766484207.410044,9321.000000000,1766484207.000000000,-14.748365200,-3.755364710,-0.609756103,0.265770577,0.374003665,0.238095243
1766484207.426681,9322.000000000,1766484207.000000000,-14.900410202,-3.602084518,-0.609756103,0.264243160,0.372470863,0.231910951
1766484207.442336,9323.000000000,1766484207.000000000,-14.900410202,-3.295524133,-0.762195129,0.270352828,0.372470863,0.250463827
1766484207.458019,9324.000000000,1766484207.000000000,-14.824387701,-3.755364710,-0.533536590,0.267297994,0.369405259,0.235003097
1766484207.474580,9325.000000000,1766484207.000000000,-14.748365200,-3.448804326,-0.533536590,0.267297994,0.367872457,0.231910951
1766484207.490287,9326.000000000,1766484207.000000000,-15.356545208,-3.755364710,-0.609756103,0.265770577,0.366339655,0.244279535
1766484207.506011,9327.000000000,1766484207.000000000,-14.368252695,-4.751685960,-0.381097564,0.264243160,0.370938061,0.227272732
1766484207.522500,9328.000000000,1766484207.000000000,-14.672342699,-3.525444422,-0.457317077,0.267297994,0.372470863,0.235003097
1766484207.538469,9329.000000000,1766484207.000000000,-14.900410202,-3.525444422,-0.533536590,0.264243160,0.372470863,0.238095243
1766484207.554120,9330.000000000,1766484207.000000000,-14.976432703,-3.525444422,-0.304878051,0.270352828,0.374003665,0.235003097
1766484207.569719,9331.000000000,1766484207.000000000,-14.520297697,-3.448804326,-0.228658539,0.267297994,0.367872457,0.247371681
1766484207.586449,9332.000000000,1766484207.000000000,-14.520297697,-3.372164230,-0.381097564,0.270352828,0.367872457,0.235003097
1766484207.602048,9333.000000000,1766484207.000000000,-14.824387701,-4.215205287,-0.990853667,0.267297994,0.370938061,0.235003097
1766484207.617754,9334.000000000,1766484207.000000000,-14.216207692,-3.755364710,-0.914634154,0.265770577,0.374003665,0.244279535
1766484207.634517,9335.000000000,1766484207.000000000,-15.204500206,-3.908644903,-0.152439026,0.268825411,0.375536467,0.241187389
1766484207.650378,9336.000000000,1766484207.000000000,-15.052455204,-3.908644903,-0.609756103,0.262715743,0.370938061,0.231910951
1766484207.665792,9337.000000000,1766484207.000000000,-15.356545208,-3.908644903,-0.533536590,0.267297994,0.372470863,0.238095243
1766484207.682744,9338.000000000,1766484207.000000000,-14.596320198,-4.291845383,-0.609756103,0.265770577,0.369405259,0.238095243
1766484207.698137,9339.000000000,1766484207.000000000,-14.444275196,-3.755364710,-0.762195129,0.270352828,0.372470863,0.238095243
1766484207.714803,9340.000000000,1766484207.000000000,-15.128477705,-3.602084518,-0.762195129,0.265770577,0.372470863,0.235003097
1766484207.730619,9341.000000000,1766484207.000000000,-15.356545208,-3.602084518,-0.609756103,0.268825411,0.366339655,0.225726659
1766484207.746545,9342.000000000,1766484207.000000000,-14.520297697,-3.908644903,-0.609756103,0.265770577,0.367872457,0.247371681
1766484207.762317,9343.000000000,1766484207.000000000,-14.596320198,-4.291845383,-0.762195129,0.265770577,0.370938061,0.230364878
1766484207.777898,9344.000000000,1766484207.000000000,-15.508590210,-4.061925095,-0.914634154,0.265770577,0.369405259,0.235003097
1766484207.794490,9345.000000000,1766484207.000000000,-15.204500206,-3.755364710,-0.381097564,0.268825411,0.372470863,0.231910951
1766484207.810157,9346.000000000,1766484207.000000000,-14.748365200,-3.908644903,-0.381097564,0.267297994,0.367872457,0.231910951
1766484207.826678,9347.000000000,1766484207.000000000,-14.672342699,-3.908644903,-0.838414641,0.268825411,0.372470863,0.241187389
1766484207.842450,9348.000000000,1766484207.000000000,-14.596320198,-4.138565191,-0.609756103,0.268825411,0.369405259,0.244279535
1766484207.858206,9349.000000000,1766484207.000000000,-15.204500206,-4.215205287,-0.533536590,0.267297994,0.366339655,0.235003097
1766484207.873756,9350.000000000,1766484207.000000000,-14.976432703,-3.755364710,-0.838414641,0.267297994,0.374003665,0.241187389
1766484207.890465,9351.000000000,1766484207.000000000,-15.052455204,-4.291845383,-0.762195129,0.265770577,0.370938061,0.238095243
1766484207.906013,9352.000000000,1766484207.000000000,-15.660635212,-4.061925095,-0.609756103,0.265770577,0.375536467,0.235003097
1766484207.922535,9353.000000000,1766484207.000000000,-14.976432703,-4.138565191,-0.685975616,0.268825411,0.366339655,0.238095243
1766484207.938211,9354.000000000,1766484207.000000000,-15.356545208,-3.908644903,-0.609756103,0.264243160,0.374003665,0.235003097
1766484207.953766,9355.000000000,1766484207.000000000,-14.596320198,-4.291845383,-0.609756103,0.264243160,0.363274051,0.239641316
1766484207.970680,9356.000000000,1766484207.000000000,-14.520297697,-3.755364710,-0.762195129,0.271880245,0.367872457,0.241187389
1766484207.986231,9357.000000000,1766484207.000000000,-14.824387701,-3.602084518,-0.914634154,0.268825411,0.377069269,0.238095243
1766484208.001895,9358.000000000,1766484208.000000000,-14.976432703,-3.755364710,-0.228658539,0.265770577,0.366339655,0.244279535
1766484208.018736,9359.000000000,1766484208.000000000,-14.824387701,-3.755364710,-0.152439026,0.264243160,0.369405259,0.235003097
1766484208.034505,9360.000000000,1766484208.000000000,-15.660635212,-4.061925095,-0.457317077,0.270352828,0.374003665,0.244279535
1766484208.050364,9361.000000000,1766484208.000000000,-15.356545208,-4.215205287,-0.381097564,0.267297994,0.374003665,0.222634513
1766484208.066047,9362.000000000,1766484208.000000000,-14.824387701,-3.832004806,-0.457317077,0.264243160,0.370938061,0.235003097
1766484208.081659,9363.000000000,1766484208.000000000,-14.748365200,-3.448804326,-0.457317077,0.267297994,0.367872457,0.238095243
1766484208.098300,9364.000000000,1766484208.000000000,-14.976432703,-4.598405768,-0.152439026,0.270352828,0.366339655,0.230364878
1766484208.113772,9365.000000000,1766484208.000000000,-14.596320198,-4.215205287,-0.914634154,0.268825411,0.370938061,0.231910951
1766484208.130538,9366.000000000,1766484208.000000000,-14.596320198,-3.602084518,-0.762195129,0.268825411,0.370938061,0.231910951
1766484208.146091,9367.000000000,1766484208.000000000,-14.672342699,-3.448804326,-0.685975616,0.268825411,0.370938061,0.241187389
1766484208.161739,9368.000000000,1766484208.000000000,-15.508590210,-2.988963749,-0.533536590,0.271880245,0.369405259,0.225726659
1766484208.178700,9369.000000000,1766484208.000000000,-15.128477705,-3.755364710,-0.457317077,0.262715743,0.372470863,0.228818805
1766484208.194166,9370.000000000,1766484208.000000000,-15.128477705,-3.295524133,-0.457317077,0.267297994,0.377069269,0.241187389
1766484208.209632,9371.000000000,1766484208.000000000,-15.052455204,-4.138565191,-0.762195129,0.268825411,0.369405259,0.244279535
1766484208.226249,9372.000000000,1766484208.000000000,-14.748365200,-3.448804326,-0.685975616,0.267297994,0.367872457,0.238095243
1766484208.241841,9373.000000000,1766484208.000000000,-14.900410202,-3.755364710,-0.533536590,0.265770577,0.366339655,0.231910951
1766484208.258687,9374.000000000,1766484208.000000000,-15.204500206,-3.908644903,-0.457317077,0.267297994,0.367872457,0.244279535
1766484208.274304,9375.000000000,1766484208.000000000,-14.672342699,-2.988963749,-0.838414641,0.268825411,0.370938061,0.241187389
1766484208.289637,9376.000000000,1766484208.000000000,-14.596320198,-3.908644903,-0.609756103,0.261188326,0.369405259,0.225726659
1766484208.306520,9377.000000000,1766484208.000000000,-14.976432703,-4.138565191,-0.381097564,0.268825411,0.366339655,0.250463827
1766484208.322219,9378.000000000,1766484208.000000000,-14.824387701,-3.755364710,-0.685975616,0.267297994,0.369405259,0.228818805
1766484208.337746,9379.000000000,1766484208.000000000,-14.292230194,-3.448804326,-0.533536590,0.267297994,0.367872457,0.238095243
1766484208.353469,9380.000000000,1766484208.000000000,-14.748365200,-3.602084518,-0.914634154,0.268825411,0.374003665,0.244279535
1766484208.370490,9381.000000000,1766484208.000000000,-15.204500206,-3.755364710,-0.381097564,0.267297994,0.366339655,0.235003097
1766484208.385971,9382.000000000,1766484208.000000000,-14.900410202,-3.602084518,-0.685975616,0.268825411,0.366339655,0.244279535
1766484208.401564,9383.000000000,1766484208.000000000,-13.988140189,-3.295524133,-0.914634154,0.271880245,0.367872457,0.235003097
1766484208.418496,9384.000000000,1766484208.000000000,-15.356545208,-4.368485479,-0.381097564,0.268825411,0.364806853,0.235003097
1766484208.433832,9385.000000000,1766484208.000000000,-15.052455204,-4.138565191,-0.762195129,0.264243160,0.375536467,0.238095243
1766484208.449563,9386.000000000,1766484208.000000000,-15.052455204,-4.445125575,-0.609756103,0.268825411,0.367872457,0.228818805
1766484208.466559,9387.000000000,1766484208.000000000,-15.052455204,-3.755364710,-0.762195129,0.265770577,0.370938061,0.231910951
1766484208.482101,9388.000000000,1766484208.000000000,-14.824387701,-3.755364710,-0.685975616,0.267297994,0.370938061,0.241187389
1766484208.497516,9389.000000000,1766484208.000000000,-14.824387701,-3.755364710,-0.685975616,0.267297994,0.369405259,0.241187389
1766484208.514233,9390.000000000,1766484208.000000000,-14.444275196,-3.908644903,-0.609756103,0.268825411,0.364806853,0.247371681
1766484208.530089,9391.000000000,1766484208.000000000,-14.976432703,-2.682403364,-0.838414641,0.267297994,0.374003665,0.241187389
1766484208.545619,9392.000000000,1766484208.000000000,-14.672342699,-4.215205287,-0.381097564,0.262715743,0.370938061,0.235003097
1766484208.561496,9393.000000000,1766484208.000000000,-15.204500206,-4.138565191,-0.609756103,0.270352828,0.369405259,0.235003097
1766484208.578191,9394.000000000,1766484208.000000000,-15.204500206,-3.908644903,-0.609756103,0.268825411,0.375536467,0.235003097
1766484208.593779,9395.000000000,1766484208.000000000,-14.596320198,-3.755364710,-0.762195129,0.265770577,0.370938061,0.250463827
1766484208.609242,9396.000000000,1766484208.000000000,-14.444275196,-3.602084518,-0.838414641,0.268825411,0.366339655,0.244279535
1766484208.625758,9397.000000000,1766484208.000000000,-14.900410202,-2.529123172,-0.457317077,0.277989914,0.370938061,0.245825608
1766484208.641622,9398.000000000,1766484208.000000000,-14.596320198,-4.138565191,-0.914634154,0.268825411,0.370938061,0.244279535
1766484208.658139,9399.000000000,1766484208.000000000,-14.900410202,-3.602084518,-0.990853667,0.268825411,0.366339655,0.231910951
