__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484450.241308,24504.000000000,1766484450.000000000,-15.356545208,-4.215205287,-0.381097564,0.267297994,0.377069269,0.238095243
1766484450.256534,24505.000000000,1766484450.000000000,-15.204500206,-4.215205287,-0.076219513,0.267297994,0.374003665,0.231910951
1766484450.272908,24506.000000000,1766484450.000000000,-15.508590210,-3.908644903,-0.381097564,0.267297994,0.375536467,0.238095243
1766484450.289228,24507.000000000,1766484450.000000000,-15.128477705,-3.832004806,-0.381097564,0.270352828,0.372470863,0.235003097
1766484450.304402,24508.000000000,1766484450.000000000,-14.976432703,-3.832004806,-0.381097564,0.270352828,0.367872457,0.241187389
1766484450.320920,24509.000000000,1766484450.000000000,-14.444275196,-3.295524133,-0.152439026,0.267297994,0.372470863,0.228818805
1766484450.336282,24510.000000000,1766484450.000000000,-14.444275196,-3.142243941,-0.152439026,0.270352828,0.366339655,0.238095243
1766484450.352704,24511.000000000,1766484450.000000000,-14.596320198,-3.142243941,-0.228658539,0.270352828,0.369405259,0.244279535
1766484450.368906,24512.000000000,1766484450.000000000,-14.596320198,-3.755364710,-0.381097564,0.267297994,0.369405259,0.238095243
1766484450.385226,24513.000000000,1766484450.000000000,-14.444275196,-3.602084518,-0.381097564,0.264243160,0.372470863,0.231910951
1766484450.400630,24514.000000000,1766484450.000000000,-14.900410202,-4.215205287,-0.304878051,0.267297994,0.374003665,0.228818805
1766484450.417026,24515.000000000,1766484450.000000000,-14.444275196,-3.985284999,-0.228658539,0.267297994,0.364806853,0.228818805
1766484450.432436,24516.000000000,1766484450.000000000,-14.748365200,-3.065603845,-0.228658539,0.270352828,0.366339655,0.235003097
1766484450.449081,24517.000000000,1766484450.000000000,-14.596320198,-4.368485479,-0.609756103,0.270352828,0.372470863,0.241187389
1766484450.464290,24518.000000000,1766484450.000000000,-14.292230194,-3.448804326,-0.304878051,0.267297994,0.367872457,0.231910951
1766484450.480801,24519.000000000,1766484450.000000000,-14.748365200,-4.368485479,-0.228658539,0.267297994,0.367872457,0.231910951
1766484450.497388,24520.000000000,1766484450.000000000,-14.444275196,-2.835683557,-0.609756103,0.270352828,0.370938061,0.231910951
1766484450.512709,24521.000000000,1766484450.000000000,-14.900410202,-3.755364710,-0.381097564,0.267297994,0.369405259,0.228818805
1766484450.529234,24522.000000000,1766484450.000000000,-14.900410202,-3.908644903,-0.304878051,0.267297994,0.370938061,0.231910951
1766484450.544765,24523.000000000,1766484450.000000000,-15.128477705,-3.985284999,-0.152439026,0.267297994,0.370938061,0.241187389
1766484450.561240,24524.000000000,1766484450.000000000,-14.748365200,-3.678724614,-0.304878051,0.267297994,0.366339655,0.235003097
1766484450.576628,24525.000000000,1766484450.000000000,-14.444275196,-3.602084518,-0.228658539,0.270352828,0.366339655,0.244279535
1766484450.593270,24526.000000000,1766484450.000000000,-15.356545208,-3.678724614,-0.152439026,0.267297994,0.369405259,0.241187389
1766484450.608755,24527.000000000,1766484450.000000000,-14.444275196,-3.448804326,-0.152439026,0.267297994,0.364806853,0.241187389
1766484450.625274,24528.000000000,1766484450.000000000,-14.748365200,-3.678724614,-0.304878051,0.267297994,0.366339655,0.247371681
1766484450.640604,24529.000000000,1766484450.000000000,-14.748365200,-3.908644903,-0.457317077,0.261188326,0.374003665,0.238095243
1766484450.657096,24530.000000000,1766484450.000000000,-14.900410202,-4.445125575,-0.152439026,0.267297994,0.370938061,0.231910951
1766484450.672424,24531.000000000,1766484450.000000000,-14.900410202,-3.755364710,-0.457317077,0.270352828,0.372470863,0.231910951
1766484450.688702,24532.000000000,1766484450.000000000,-14.900410202,-4.368485479,-0.076219513,0.267297994,0.370938061,0.244279535
1766484450.704962,24533.000000000,1766484450.000000000,-15.204500206,-3.755364710,-0.228658539,0.270352828,0.367872457,0.244279535
1766484450.721245,24534.000000000,1766484450.000000000,-14.976432703,-3.678724614,-0.304878051,0.267297994,0.374003665,0.247371681
1766484450.737266,24535.000000000,1766484450.000000000,-14.444275196,-3.218884037,-0.152439026,0.267297994,0.369405259,0.247371681
1766484450.752233,24536.000000000,1766484450.000000000,-15.128477705,-3.448804326,-0.228658539,0.270352828,0.370938061,0.235003097
