__time,/force/header/stamp/nanosec,/force/header/stamp/sec,/force/wrench/force/x,/force/wrench/force/y,/force/wrench/force/z,/force/wrench/torque/x,/force/wrench/torque/y,/force/wrench/torque/z
1766484841.773784,48984.000000000,1766484841.000000000,-14.596320198,-2.912323653,0.609756103,0.282572165,0.387798882,0.216450221
1766484841.789241,48985.000000000,1766484841.000000000,-14.596320198,-3.372164230,0.609756103,0.282572165,0.387798882,0.207173783
1766484841.805799,48986.000000000,1766484841.000000000,-14.520297697,-2.912323653,0.685975616,0.288681834,0.386266080,0.211812002
1766484841.821301,48987.000000000,1766484841.000000000,-15.280522707,-3.065603845,0.762195129,0.285626999,0.392397288,0.224180586
1766484841.837645,48988.000000000,1766484841.000000000,-14.140185191,-2.912323653,0.914634154,0.287154417,0.381667674,0.214904148
1766484841.854006,48989.000000000,1766484841.000000000,-14.216207692,-2.682403364,0.838414641,0.287154417,0.384733278,0.230364878
1766484841.869386,48990.000000000,1766484841.000000000,-13.227915179,-3.218884037,0.838414641,0.287154417,0.384733278,0.222634513
1766484841.885757,48991.000000000,1766484841.000000000,-14.140185191,-2.912323653,0.762195129,0.287154417,0.381667674,0.219542367
1766484841.902181,48992.000000000,1766484841.000000000,-13.760072686,-3.142243941,0.762195129,0.284099582,0.386266080,0.200989490
1766484841.917594,48993.000000000,1766484841.000000000,-13.988140189,-3.142243941,0.304878051,0.288681834,0.384733278,0.219542367
1766484841.933190,48994.000000000,1766484841.000000000,-14.216207692,-2.375842980,0.838414641,0.290209251,0.386266080,0.196351271
1766484841.949760,48995.000000000,1766484841.000000000,-13.532005183,-2.529123172,0.762195129,0.287154417,0.384733278,0.211812002
1766484841.966325,48996.000000000,1766484841.000000000,-14.824387701,-2.452483076,0.762195129,0.288681834,0.389331684,0.214904148
1766484841.981659,48997.000000000,1766484841.000000000,-13.912117688,-2.682403364,1.067073180,0.288681834,0.387798882,0.230364878
1766484841.998291,48998.000000000,1766484841.000000000,-14.368252695,-3.065603845,0.838414641,0.285626999,0.386266080,0.216450221
